LEGAL_ENTITY_NAME,PREMISES_NAME,DHB,STREET_ADDRESS_OTHER,STREET_ADDRESS,STREET_ADDRESS_SUBURB_RD,STREET_ADDRESS_TOWN_CITY,STREET_ADDRESS_POST_CODE
Viridian Pharmacy Limited,Hill Road Pharmacy,Counties Manukau DHB,Shop 6,7 Hill Road,Manurewa,Auckland,2012
Vivian Pharmacy Limited,Vivian Pharmacy Limited,Taranaki DHB,,95 Vivian Street,,NEW PLYMOUTH,4310
Vogeltown Pharmacy 2015 Limited,Vogeltown Pharmacy,Taranaki DHB,,272 Carrington Street,Vogeltown,NEW PLYMOUTH,4310
Waiheke Pharmacy Limited,Waiheke Unichem Pharmacy,Auckland DHB,,120 Ocean View Road,Oneroa,WAIHEKE ISLAND,1081
Waihi Beach Chemist 2007 Limited,Waihi Beach Chemist,Bay of Plenty DHB,,15 Wilson Road,,Waihi Beach,3611
Waikanae Pharmacy 2012 Limited,Westbury Pharmacy,Capital and Coast DHB,,12 Mahara Place,,WAIKANAE,5036
Waikato District Health Board,"Pharmacy Services, Waikato Hospital",Waikato DHB,,183 Pembroke Street,Hamilton Central,HAMILTON,3204
Waikiwi Pharmacy (2005) Limited,Unichem Waikiwi Pharmacy,Southern DHB,,280 North Road,Waikiwi,INVERCARGILL,9810
Waimauku Village Pharmacy Limited,Waimauku Pharmacy - Silver Fern,Waitemata DHB,"Shop C13, The Triangle",5-19 Factory Road,Waimauku,Auckland,0812
Waimauku Village Pharmacy Limited,Waimauku Village Pharmacy,Waitemata DHB,,8 Waimauku Station Road,,WAIMAUKU,0812
Wainuiomata Pharmacy (2015) Limited,Wainuiomata Pharmacy,Hutt Valley DHB,,8 The Strand,Wainuiomata,Lower Hutt,5014
Waiora Community Pharmacy Limited,Unichem Waiora Pharmacy,Waitemata DHB,Whanau House,4-8 Pioneer Street,Henderson,Auckland,0612
Waipapa Pharmacy Limited,Waipapa Unichem Pharmacy,Northland DHB,,5 Klinac Lane,RD 2,Kerikeri,0295
Waipawa Pharmacy Limited,Waipawa Pharmacy Limited,Hawkes Bay DHB,,24 High Street,,WAIPAWA,4210
Waipu Village Pharmacy Limited,Waipu Village Pharmacy Limited,Northland DHB,,6 The Centre,,Waipu,0510
Wairarapa District Health Board,Wairarapa Hospital Pharmacy,Wairarapa DHB,Pharmacy Department,Wairarapa Hospital,Te Ore Ore Road,MASTERTON,5810
Wairau Pharmacy 2008 Limited,Civic Health Pharmacy,Nelson Marlborough DHB,,18 Arthur Street,,Blenheim,7201
Wairau Pharmacy 2008 Limited,Wairau Pharmacy,Nelson Marlborough DHB,,47 Scott Street,,BLENHEIM,7201
Waitangirua Pharmacy Limited,Waitangirua Pharmacy Limited,Capital and Coast DHB,Waitangirua Health Centre,201 Warspite Avenue,,PORIRUA,5024
Waitara Pharmacy Limited,Waitara Pharmacy,Taranaki DHB,,56 McLean Street,,WAITARA,4320
Waitemata District Health Board,Auckland Opioid Treatment Service Pharmacy,Waitemata DHB,Pitman House,50 Carrington Road,Point Chevalier,Auckland,1025
Waitemata District Health Board,North Shore Hospital Pharmacy-Inpatient/Outpatient,Waitemata DHB,North Shore Hospital,Shakespeare Road,Takapuna,AUCKLAND,0740
Waitemata District Health Board,Waitakere Hospital Pharmacy - Inpatient/Outpatient,Waitemata DHB,Waitakere Hospital,55 Lincoln Road,Henderson,Auckland,0610
Waiuku Medical Pharmacy (2010) Limited,Unichem Waiuku Medical Pharmacy,Counties Manukau DHB,,30B Constable Road,,Waiuku,2123
Waiuku Pharmacy (2016) Limited,Unichem Waiuku Pharmacy,Counties Manukau DHB,,40 Queen Street,,Waiuku,2123
Wakatipu Pharmacy 2018 Limited,QT Pharmacy,Southern DHB,Shop 202 O'Connell's Mall,1/30 Camp Street,,Queenstown,9300
Wakefield Pharmacy (2012) Limited,Wakefield Pharmacy,Nelson Marlborough DHB,,4 Edward Street,,Wakefield,7025
Walker Holdings (2009) Limited,Otorohanga Express Pharmacy,Waikato DHB,,6 Hinewai Street,,OTOROHANGA,3900
Walker Holdings (2009) Limited,Unichem Otorohanga Pharmacy,Waikato DHB,Ground Floor,55 Maniapoto Street,,Otorohanga,3900
Wallace's Pharmacy Limited,Wallace's Pharmacy Limited,Southern DHB,,62-64 Windsor Street,Windsor,INVERCARGILL,9810
Walls & Roche Royal Oak Pharmacy Limited,Unichem Walls & Roche Royal Oak Pharmacy,Auckland DHB,,792 Manukau Road,Royal Oak,Auckland,1023
Walls & Roche Royal Oak Pharmacy Limited,Walls & Roche Medicine Management,Auckland DHB,Level 2,778-784 Manukau Road,Royal Oak,Auckland,1023
Wanacare Pharmacy Limited,Wanacare Pharmacy,Southern DHB,,23 Cardrona Valley Road,,WANAKA,9305
Wanaka Pharmacy Limited,Wanaka Pharmacy,Southern DHB,,41 Helwick Street,,WANAKA,9305
Wards Pharmacy Dannevirke Limited,Wards Pharmacy,MidCentral DHB,,51 High Street,,Dannevirke,4930
Warkworth Community Pharmacy Limited,Unichem Warkworth Pharmacy,Waitemata DHB,,2/23 Percy Street,Warkworth,Auckland,0910
Watapo Limited,Shorecare Pharmacy,Waitemata DHB,"Tenancy 8B, The Boulevard","Smales Farm, 74 Taharoto Road",Takapuna,Auckland,0622
Waugh's Pharmacy Limited,Waugh's Pharmacy Limited,Bay of Plenty DHB,,252 Welcome Bay Road,Welcome Bay,TAURANGA,3112
Waverley Pharmacy 2009 Limited,Waverley Pharmacy,Southern DHB,,97 Larnach Road,Vauxhall,Dunedin,9013
Weleda Pharmacy Limited,Weleda Pharmacy Limited,Hawkes Bay DHB,,302 Te Mata Road,,HAVELOCK NORTH,4294
Wellington Associated Pharmacists Limited,After Hours Pharmacy,Capital and Coast DHB,Ground Floor,17 Adelaide Road,Mount Cook,WELLINGTON,6021
Wellington Pharmacy (2016) Limited,Unichem Willis St. Pharmacy,Capital and Coast DHB,Ground Floor,58 Willis Street,Wellington Central,Wellington,6011
Wellington United Friendly Societies Dispensary,Wellington UFS Pharmacy,Capital and Coast DHB,Ground Floor,47 Courtenay Place,Te Aro,WELLINGTON,6011
Wellsford Pharmacy (2002) Limited,Wellsford Pharmacy (2002) Limited,Waitemata DHB,,156 Rodney Street,,Wellsford,0900
Wellworks Brooklyn Limited,Unichem Brooklyn Pharmacy,Capital and Coast DHB,"Shop 2,3 & 4",67 Cleveland Street,Brooklyn,Wellington,6021
Wellworks Pharmacy Limited,Wellworks Pharmacy,Capital and Coast DHB,Shop 1,75 Taranaki Street,Te Aro,Wellington,6011
West City Pharmacy (2010) Limited,Unichem West City Pharmacy,Auckland DHB,"Level 2, Shop 222, WestCity Waitakere Shopping Centre",7 Catherine Street,Henderson,Auckland,0612
West Coast District Health Board,Grey Base Hospital Pharmacy,West Coast DHB,Grey Base Hospital,Upper High Street,,GREYMOUTH,7805
West Melton Pharmacy Limited,Unichem West Melton Pharmacy,Canterbury DHB,Shop 12,736 Weedons Ross Road,,West Melton,7618
Western Heights Pharmacy Limited,Western Heights Pharmacy,Lakes DHB,,10 Brookland Road,Western Heights,Rotorua,3015
Westgate Community Pharmacy Limited,Westgate Pharmacy,Waitemata DHB,"Shop 6, Westgate Shopping Centre",1 Fernhill Drive,Westgate,Auckland,0614
Westland Pharmacy (2010) Limited,Westland Pharmacy (2010) Limited,West Coast DHB,,10 Weld Street,,Hokitika,7810
Westmere Pharmacy (2010) Limited,Westmere Pharmacy,Auckland DHB,,170 Garnet Road,Westmere,Auckland,1022
Westshore Pharmacy 2016 Limited,Westshore Pharmacy,Hawkes Bay DHB,,3 Alfred Street,Westshore,Napier,4110
Westview Pharmacy (1994) Limited,Westview Pharmacy,Waitemata DHB,"Tenancy 3, Westview Medical Centre",5 Glendale Road,Glen Eden,AUCKLAND,0602
Whakatane Pharmacy Limited,Total Health Chemist,Bay of Plenty DHB,,"Shop 3, 252 The Strand",,WHAKATANE,3120
Whangamata Pharmacy (2013) Limited,Whangamata Pharmacy,Waikato DHB,,429 Port Road,,Whangamata,3620
Whanganui District Health Board,Whanganui Hospital Pharmacy,Whanganui DHB,"Pharmacy Department, Whanganui Hospital",100 Heads Road,Gonville,WHANGANUI,4501
Whangaparaoa Family Pharmacy Limited,Whangaparaoa Family Pharmacy Limited,Waitemata DHB,,5/651 Whangaparaoa Road,Stanmore Bay,Whangaparaoa,0932
Whangarei Community Pharmacy Limited,Unichem Whangarei Pharmacy,Northland DHB,Shop 2,32 - 48 Reyburn Street,,Whangarei,0110
Whittakers Pharmacy Limited,Jeff Whittaker Pharmacy,Hawkes Bay DHB,,10 Napier Road,,HAVELOCK NORTH,4130
Whytes Pharmacy (2007) Limited,Unichem Chemist Shop,MidCentral DHB,,27 Linton Street,,Palmerston North,4410
Whytes Pharmacy (2007) Limited,Unichem Kauri Healthcare Pharmacy,MidCentral DHB,,619 Featherston Street,Roslyn,Palmerston North,4414
Wicksteed Pharmacy Limited,Wicksteed Pharmacy,Whanganui DHB,,214 Wicksteed Street,,WHANGANUI,4500
Wigmore Pharmacy (2005) Limited,Devonport Pharmacy,Waitemata DHB,,33 Victoria Road,Devonport,Auckland,0624
Wigram Pharmacy Limited,Unichem Wigram Pharmacy,Canterbury DHB,"Shop 8, The Landing",102 The Runway,Wigram,CHRISTCHURCH,8042
Willis Street Pharmacy Limited,Unichem Island Bay Pharmacy,Capital and Coast DHB,,141 The Parade,Island Bay,WELLINGTON,6023
Willis Street Pharmacy Limited,Unichem Molesworth Pharmacy,Capital and Coast DHB,,"Shop 9, 100 Molesworth Street",Thorndon,WELLINGTON,6011
Willis Street Pharmacy Limited,Unichem Wellington Central Pharmacy,Capital and Coast DHB,,204 Lambton Quay,Wellington Central,Wellington,6011
Willow Street Pharmacy Limited,Pharmacyhealth,Bay of Plenty DHB,,19 Second Avenue,,Tauranga,3110
Winton Pharmacy Limited,Winton Pharmacy,Southern DHB,,266 Great North Road,,WINTON,9720
Wiri Health Pharmacy Limited,Wiri Health Pharmacy,Counties Manukau DHB,Unit 10,792 Great South Road,Wiri,Auckland,2104
Wisemed Limited,Gimbletts Pharmacy,MidCentral DHB,,70 Main Street,,Foxton,4814
Wood Street Medical Centre Pharmacy Limited,Wood Street Medical Centre Pharmacy,Counties Manukau DHB,,48 Wood Street,Papakura,Auckland,2110
Woodham Road Pharmacy Limited,Woodham Road Pharmacy,Canterbury DHB,,"Shop 1, 23 Woodham Road",Linwood,Christchurch,8062
Woolston Pharmacy Limited,Woolston Pharmacy Limited,Canterbury DHB,,685 Ferry Road,Woolston,Christchurch,8023
Your Health Care Pharmacy Limited,White Swan Pharmacy,Auckland DHB,,460 Richardson Road,Mt Roskill,Auckland,1041
Your Local Pharmacy Limited,Silverstream Kaiapoi Pharmacy,Canterbury DHB,Shop 10,42 Silverstream Boulevard,Kaiapoi,Canterbury,7630
Zahara NZ Limited,Alberton Pharmacy,Auckland DHB,,99 St Lukes Road,Sandringham,AUCKLAND,1025
Zoom Care Limited,Zoom Care Limited,Auckland DHB,Pier 21 Building,11 Westhaven Drive,Auckland Central,Auckland,1010
